Rk,Player,Nation,Pos,Squad,League,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKmiss,PK Save%,FK GA,CK GA,OG GA,PSxG,PSxG/SoT,PSxG+/-,PSxG+/-p90,Launched Pass Cmp,Launched Pass Att,Launched Pass Cmp%,GK Throws,Launched Pass%,AvgLen Launched,Att Goal Kicks,Launch Goal Kicks%,AvgLen Goal Kicks,Crosses faced,Crosses stopped,Crosses Stp%,OPA Actions,OPA p90,OPA AvgDist,Cmp Passes,Att Passes,Total Pass Cmp%,TotDist,PrgDist,Cmp Short Passes,Att Short Passes,Cmp Short Passes%,Cmp Med Passes,Att Med Passes,Cmp Med Passes%,Cmp Long Passes,Att Long Passes,Cmp Long Passes%,Ast,xAG,xA,A-xAG,KP,Passes into Final third,PPA,CrsPA,PrgP
155,Matej Kovar,cz CZE,GK,Leverkusen,G. Bundesliga,25-008,2000,5,5,450,5,5,1,16,12,68.8,3,1,1,3,60,0,0,0,0,,0,0,1,3.5,0.22,-0.5,-0.09,12,32,37.5,16,21.4,27.9,15,26.7,27.7,52,2,3.8,6,1.2,16.9,123,147,83.7,2919,1733,31,31,100,63,63,100,29,52,55.8,0,0,0,0,0,2,0,0,0
156,Gregor Kobel,ch SUI,GK,Dortmund,G. Bundesliga,27-170,1997,32,32,"2,880",32,47,1.47,129,82,66.7,16,6,10,7,21.9,4,4,0,0,0,0,5,1,47.4,0.35,1.4,0.04,112,336,33.3,126,23.7,28.6,121,58.7,45.3,420,22,5.2,47,1.47,15.7,993,1241,80,24180,16099,240,242,99.2,525,528,99.4,226,465,48.6,0,0,0,0,1,5,0,0,1
157,Lukáš Hrádecký,fi FIN,GK,Leverkusen,G. Bundesliga,35-182,1989,29,29,"2,610",29,38,1.31,118,83,71.2,16,11,2,6,20.7,4,4,0,0,0,1,2,3,35.8,0.28,0.8,0.03,123,306,40.2,110,30.9,31.5,135,49.6,40.8,296,12,4.1,39,1.34,17.3,687,912,75.3,18432,14162,145,145,100,307,314,97.8,230,444,51.8,0,0,0,0,0,5,0,0,0
158,Timo Horn,de GER,GK,Bochum,G. Bundesliga,32-013,1993,13,13,"1,170",13,22,1.69,54,32,59.3,3,3,7,3,23.1,1,0,0,1,,1,3,0,18.5,0.35,-3.5,-0.27,129,332,38.9,29,60.8,43.6,98,90.8,61.8,182,6,3.3,18,1.38,14.8,284,499,56.9,11052,9708,22,22,100,96,97,99,166,379,43.8,0,0,0.1,0,1,24,1,0,1
159,Péter Gulácsi,hu HUN,GK,RB Leipzig,G. Bundesliga,35-019,1990,30,30,"2,631",29.2,39,1.33,137,97,73,12,11,7,14,46.7,3,2,1,0,33.3,1,4,0,42.6,0.3,3.6,0.12,79,209,37.8,140,20.3,28.6,196,33.7,34.3,434,23,5.3,34,1.16,14.8,742,904,82.1,18391,11161,154,154,100,393,401,98,195,346,56.4,0,0,0,0,0,4,0,0,0
160,Kamil Grabara,pl POL,GK,Wolfsburg,G. Bundesliga,26-137,1999,29,29,"2,585",28.7,49,1.71,137,88,65.7,9,7,13,5,17.2,3,2,1,0,33.3,0,9,1,49.7,0.35,1.7,0.06,186,511,36.4,114,41.7,36.7,154,66.9,51.9,413,15,3.6,19,0.66,12.2,791,1139,69.4,23935,16376,117,117,100,380,383,99.2,293,632,46.4,0,0,0.1,0,2,40,3,0,2
161,Frank Feller,de GER,GK,Heidenheim,G. Bundesliga,21-138,2004,2,1,121,1.3,0,0,2,2,100,1,0,0,2,200,0,0,0,0,,0,0,0,0.3,0.16,0.3,0.24,10,34,29.4,7,42.6,38,11,100,68.4,25,1,4,1,0.74,14.8,41,65,63.1,1338,982,5,5,100,19,19,100,17,41,41.5,0,0,0,0,0,0,0,0,0
162,Patrick Drewes,de GER,GK,Bochum,G. Bundesliga,32-110,1993,21,21,"1,890",21,46,2.19,99,51,56.6,2,5,14,2,9.5,5,3,2,0,40,2,4,0,42.3,0.38,-3.7,-0.18,218,484,45,65,50.1,37.6,177,80.8,52.6,285,12,4.2,33,1.57,15.8,565,860,65.7,19116,15776,69,69,100,229,234,97.9,267,553,48.3,0,0,0,0,0,7,0,0,0
163,Thomas Dähne,de GER,GK,Holstein Kiel,G. Bundesliga,31-141,1994,9,9,810,9,19,2.11,55,36,69.1,2,2,5,0,0,3,2,1,0,33.3,1,1,1,18.5,0.3,0.5,0.06,47,133,35.3,55,25.7,30.3,91,60.4,45.6,177,15,8.5,5,0.56,9.3,304,395,77,7965,5004,53,53,100,169,170,99.4,81,171,47.4,0,0,0,0,0,1,0,0,0
164,Finn Dahmen,de GER,GK,Augsburg,G. Bundesliga,27-059,1998,19,19,"1,710",19,19,1,82,65,79.3,7,6,6,9,47.4,2,2,0,0,0,0,3,2,24.2,0.29,7.2,0.38,129,341,37.8,51,38.6,34.9,145,71.7,53.2,337,9,2.7,26,1.37,14.7,528,761,69.4,15853,11241,91,92,98.9,232,234,99.1,204,432,47.2,0,0,0.1,0,0,11,0,0,3
165,Tiago Cardoso,lu LUX,GK,Gladbach,G. Bundesliga,19-048,2006,5,4,380,4.2,3,0.71,23,20,87,2,1,1,2,50,0,0,0,0,,0,0,0,4.7,0.2,1.7,0.39,23,62,37.1,22,27,29.2,31,71,48.9,96,14,14.6,1,0.24,5.6,134,179,74.9,3359,2226,34,34,100,67,68,98.5,33,77,42.9,0,0,0,0,0,0,0,0,0
166,Oliver Baumann,de GER,GK,Hoffenheim,G. Bundesliga,34-357,1990,28,28,"2,520",28,53,1.89,138,84,63,6,8,14,4,14.3,5,2,3,0,60,1,7,2,52.1,0.36,1.1,0.04,178,478,37.2,121,41.6,36.5,136,69.1,50.8,407,18,4.4,31,1.11,14.5,734,1062,69.1,21741,16685,124,125,99.2,362,364,99.5,244,566,43.1,0,1,0.7,-1,3,39,4,0,1
167,Noah Atubolu,de GER,GK,Freiburg,G. Bundesliga,23-000,2002,26,26,"2,307",25.6,37,1.44,120,81,69.2,12,6,8,10,38.5,2,0,2,0,100,1,3,0,37,0.3,0,0,159,414,38.4,110,32.4,33.1,126,68.3,51.5,377,34,9,28,1.09,12.7,849,1140,74.5,23928,17335,135,136,99.3,451,458,98.5,262,542,48.3,0,0,0.1,0,0,27,1,0,2
